baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,Species,combined_traits
2.9365167496848708,2.154128342264341,0.7088373816106524,3.0389598491118415,0.0023739649129444628,0.04843721392551597,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__Pedosphaera,s__,unassigned
3.522990921457431,1.955451512904205,0.6041069114834966,3.2369295496094077,0.0012082323586576722,0.03241283793502147,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__Tundrisphaera,s__,aerobic_chemoheterotrophy
5.865682828969838,2.6163376188484406,0.7779212390022436,3.363242302272319,7.703271882178977e-4,0.025869251034574325,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Azospirillales,f__Inquilinaceae,g__Inquilinus,s__,unassigned
13.362679316034457,2.862179791295756,0.8312330037585941,3.443294212758409,5.746737608124261e-4,0.02141050756367719,k__Bacteria,p__Armatimonadota,c__Fimbriimonadia,o__Fimbriimonadales,f__Fimbriimonadaceae,g__,s__,unassigned
8.772595902149845,2.8295637078269555,0.6391599776542756,4.427003890655805,9.555100964312146e-6,0.001010234765590457,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Pirellula,s__,unassigned
10.389180668784642,2.6003947271273242,0.8066234566101813,3.2238025138215423,0.0012650060605867246,0.033436410192326384,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__,cellulolysisaerobic_chemoheterotrophy
15.283777897320986,4.853349508077952,1.0416122095716964,4.659459118738264,3.1704135210905724e-6,4.0968788055870397e-4,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__,cellulolysisaerobic_chemoheterotrophy
8.520272948902466,3.459900272516166,0.9323376566019695,3.710994882611778,2.0644627786387776e-4,0.010913500961622266,k__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Tepidisphaerales,f__WD2101 soil group,g__,s__,unassigned
10.786176972178053,2.734763064677363,0.6955722677017816,3.9316735178548843,8.435657654672446e-5,0.005303064785072462,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__Gemmata,s__,unassigned
5.37010262867729,3.259478453843913,0.8122706375001638,4.012798571514603,6.0003112231758956e-5,0.004229310274274888,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__,cellulolysisaerobic_chemoheterotrophy
5.357337887815897,2.5742534698923802,0.8419087176648192,3.0576396417803124,0.0022308767242102804,0.04674792126588389,k__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Tepidisphaerales,f__CPla-3 termite group,g__,s__,unassigned
6.077832442471691,2.342623308598747,0.7182105256391917,3.261750176264631,0.0011072667940695397,0.03140856784153353,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__Tundrisphaera,s__,aerobic_chemoheterotrophy
4.420846568159734,3.105260813269879,0.9786083540227727,3.173139489873615,0.001508000535579638,0.03653759630998164,k__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Tepidisphaerales,f__WD2101 soil group,g__,s__,unassigned
5.059003786546171,3.0755370626048455,0.940129811116238,3.271396169166457,0.001070178779622446,0.03140856784153353,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__,g__,s__,unassigned
4.597208948668454,2.2913718155131892,0.6982029357755847,3.2818134930467817,0.0010314180148440462,0.030757414134964765,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__,cellulolysisaerobic_chemoheterotrophy
2.833926655800952,2.137045331100871,0.6898831163526412,3.097691884966347,0.0019503408815037325,0.04279710273941209,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__env.OPS 17,g__,s__,unassigned
9.191949039947641,3.5012472908885064,0.930358275462597,3.7633322379462903,1.6766421648248755e-4,0.009285403989006335,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Planctomycetales,f__Schlesneriaceae,g__Schlesneria,s__,aerobic_chemoheterotrophynitrate_respirationnitrate_reductionnitrogen_respiration
6.8752311789571445,2.9783937077474643,0.8345801757346369,3.568732872339966,3.5871193306580897e-4,0.015451184376130958,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Terrimicrobiaceae,g__Terrimicrobium,s__,unassigned
5.381457785738991,3.2571154279034342,0.8739464057888632,3.7269052270584213,1.9384530543761568e-4,0.010485678615067304,k__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Polyangiaceae,g__Sorangium,s__,cellulolysisanaerobic_chemoheterotrophy
4.784686935887529,2.763113916532123,0.8784153515059444,3.1455665156523898,0.0016576549622438718,0.038707215806077444,k__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Polyangiaceae,g__,s__,unassigned
6.899392675446781,2.820267137890239,0.8244699219233746,3.4207034882618212,6.245938971387346e-4,0.022350852380687642,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__,s__,aerobic_chemoheterotrophy
5.052274695258971,2.896395009435453,0.9065025610273054,3.1951316344358442,0.0013976707682482787,0.034653235342422255,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Terrimicrobiaceae,g__Terrimicrobium,s__sacchariphilum,unassigned
6.376930605760119,1.8814950452480428,0.580598174244437,3.2406148153954004,0.0011927222912885014,0.03241283793502147,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
8.026393472047369,3.229471397870952,0.9336323971914186,3.4590395615939915,5.42105272829594e-4,0.021015614410027257,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__11-24,f__,g__,s__,unassigned
9.669956877764271,3.8000535773958077,0.9695772684664962,3.919289056153361,8.881055147543494e-5,0.005436140598206886,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__,f__,g__,s__,unassigned
2.4354504921976976,2.3433184405519896,0.7463367012507751,3.139760428001002,0.0016908604948791285,0.038940014961275776,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bryobacter,s__,aerobic_chemoheterotrophy
5.1432650667061015,2.6957331762189227,0.8573044119963976,3.144429374790445,0.001664110739728179,0.038707215806077444,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
4.597238259151214,2.572127307154423,0.710917386502981,3.618039670976084,2.9684290390995146e-4,0.013538364597932296,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
2.6513312115561307,2.4752622444392576,0.7508682360510688,3.296533433691431,9.788596316016287e-4,0.02956918835201803,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__Gemmata,s__,unassigned
