"","Kingdom","Phylum","Class","Order","Family","Genus","Species","combined_traits","Unique_Node_Name"
"Unclass_o__Ardenticatenales","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Ardenticatenales","f__","Unclass_o__Ardenticatenales",NA,NA,"Unclass_o__Ardenticatenales"
"Unclass_o__Micrococcales","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__","Unclass_o__Micrococcales",NA,NA,"Unclass_o__Micrococcales"
"g__Sporosarcina","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Sporosarcina",NA,NA,"g__Sporosarcina"
"g__FS142-36B-02","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Nitrosococcales","f__Nitrosococcaceae","g__FS142-36B-02",NA,NA,"g__FS142-36B-02"
"g__Anaerolinea","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__Anaerolinea",NA,NA,"g__Anaerolinea"
"g__Haloactinopolyspora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Haloactinopolyspora",NA,NA,"g__Haloactinopolyspora"
"g__Ruminococcus","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus",NA,NA,"g__Ruminococcus"
"g__Kineococcus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Kineosporiales","f__Kineosporiaceae","g__Kineococcus",NA,NA,"g__Kineococcus"
"Unclass_f__Spongiibacteraceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Spongiibacteraceae","Unclass_f__Spongiibacteraceae",NA,NA,"Unclass_f__Spongiibacteraceae"
"g__Prosthecomicrobium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Pleomorphomonadaceae","g__Prosthecomicrobium",NA,NA,"g__Prosthecomicrobium"
"g__Phytomonospora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Phytomonospora",NA,NA,"g__Phytomonospora"
"g__Pseudosphingobacterium","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Pseudosphingobacterium",NA,NA,"g__Pseudosphingobacterium"
"g__Waddlia","k__Bacteria","p__Verrucomicrobiota","c__Chlamydiae","o__Chlamydiales","f__Waddliaceae","g__Waddlia",NA,NA,"g__Waddlia"
"g__AAP99","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__AAP99",NA,NA,"g__AAP99"
"g__Filimonas","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Filimonas",NA,NA,"g__Filimonas"
"Unclass_c__Nitrososphaeria","k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__","f__","Unclass_c__Nitrososphaeria",NA,NA,"Unclass_c__Nitrososphaeria"
"g__Deinococcus","k__Bacteria","p__Deinococcota","c__Deinococci","o__Deinococcales","f__Deinococcaceae","g__Deinococcus",NA,NA,"g__Deinococcus"
"g__Candidatus Obscuribacter","k__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Obscuribacterales","f__Obscuribacteraceae","g__Candidatus Obscuribacter",NA,NA,"g__Candidatus Obscuribacter"
