"","Kingdom","Phylum","Class","Order","Family","Genus","Species","combined_traits","Unique_Node_Name","tid"
"g__Lactobacillus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus",NA,NA,"g__Lactobacillus","bt_986"
"g__Lentimicrobium","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__Lentimicrobiaceae","g__Lentimicrobium",NA,NA,"g__Lentimicrobium","bt_987"
"g__Euzebya","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Euzebyales","f__Euzebyaceae","g__Euzebya",NA,NA,"g__Euzebya","bt_988"
"Unclass_o__Salinisphaerales","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Salinisphaerales","f__","Unclass_o__Salinisphaerales",NA,NA,"Unclass_o__Salinisphaerales","bt_989"
"g__Methylocystis","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Methylocystis",NA,NA,"g__Methylocystis","bt_990"
"g__SZB85","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Nitrosococcales","f__Nitrosococcaceae","g__SZB85",NA,NA,"g__SZB85","bt_991"
"g__Curvibacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Curvibacter",NA,NA,"g__Curvibacter","bt_992"
"g__Phormidium SAG 37.90","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Leptolyngbyales","f__Leptolyngbyaceae","g__Phormidium SAG 37.90",NA,NA,"g__Phormidium SAG 37.90","bt_993"
"g__Prevotellaceae UCG-001","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae UCG-001",NA,NA,"g__Prevotellaceae UCG-001","bt_994"
"g__Wolbachia","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Anaplasmataceae","g__Wolbachia",NA,NA,"g__Wolbachia","bt_995"
"Unclass_o__Candidatus Campbellbacteria","k__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus Campbellbacteria","f__","Unclass_o__Candidatus Campbellbacteria",NA,NA,"Unclass_o__Candidatus Campbellbacteria","bt_996"
"g__Stigmatella","k__Bacteria","p__Myxococcota","c__Myxococcia","o__Myxococcales","f__Myxococcaceae","g__Stigmatella",NA,NA,"g__Stigmatella","bt_997"
"Unclass_f__Rubinisphaeraceae","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Planctomycetales","f__Rubinisphaeraceae","Unclass_f__Rubinisphaeraceae",NA,NA,"Unclass_f__Rubinisphaeraceae","bt_998"
"Unclass_o__Candidatus Abawacabacteria","k__Bacteria","p__Patescibacteria","c__Gracilibacteria","o__Candidatus Abawacabacteria","f__","Unclass_o__Candidatus Abawacabacteria",NA,NA,"Unclass_o__Candidatus Abawacabacteria","bt_999"
"g__Candidatus Endoecteinascidia","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Piscirickettsiales","f__Piscirickettsiaceae","g__Candidatus Endoecteinascidia",NA,NA,"g__Candidatus Endoecteinascidia","bt_1000"
"Unclass_o__Candidatus Jorgensenbacteria","k__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus Jorgensenbacteria","f__","Unclass_o__Candidatus Jorgensenbacteria",NA,NA,"Unclass_o__Candidatus Jorgensenbacteria","bt_1001"
"Unclass_o__Ignavibacteriales","k__Bacteria","p__Bacteroidota","c__Ignavibacteria","o__Ignavibacteriales","f__","Unclass_o__Ignavibacteriales",NA,NA,"Unclass_o__Ignavibacteriales","bt_1002"
"Unclass_o__Enterobacterales","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__","Unclass_o__Enterobacterales",NA,NA,"Unclass_o__Enterobacterales","bt_1003"
"g__Magnetospirillum","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Magnetospirillaceae","g__Magnetospirillum",NA,NA,"g__Magnetospirillum","bt_1004"
"g__Fontimonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Salinisphaerales","f__Solimonadaceae","g__Fontimonas",NA,NA,"g__Fontimonas","bt_1005"
"Unclass_f__S15-21","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__S15-21","Unclass_f__S15-21",NA,NA,"Unclass_f__S15-21","bt_1006"
"g__Huanghella","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Spirosomaceae","g__Huanghella",NA,NA,"g__Huanghella","bt_1007"
"g__Candidatus Entotheonella","k__Bacteria","p__Entotheonellaeota","c__Entotheonellia","o__Entotheonellales","f__Entotheonellaceae","g__Candidatus Entotheonella",NA,NA,"g__Candidatus Entotheonella","bt_1008"
"Unclass_f__Babeliaceae","k__Bacteria","p__Dependentiae","c__Babeliae","o__Babeliales","f__Babeliaceae","Unclass_f__Babeliaceae",NA,NA,"Unclass_f__Babeliaceae","bt_1009"
"Unclass_c__Phycisphaerae","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__","f__","Unclass_c__Phycisphaerae",NA,NA,"Unclass_c__Phycisphaerae","bt_1010"
"g__Rothia","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Rothia",NA,NA,"g__Rothia","bt_1011"
"Unclass_o__Clostridia UCG-014","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia UCG-014","f__","Unclass_o__Clostridia UCG-014",NA,NA,"Unclass_o__Clostridia UCG-014","bt_1012"
"Unclass_f__SB-5","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__SB-5","Unclass_f__SB-5",NA,NA,"Unclass_f__SB-5","bt_1013"
"Unclass_c__SHA-26","k__Bacteria","p__Chloroflexi","c__SHA-26","o__","f__","Unclass_c__SHA-26",NA,NA,"Unclass_c__SHA-26","bt_1014"
"Unclass_o__Desulfovibrionales","k__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__","Unclass_o__Desulfovibrionales",NA,NA,"Unclass_o__Desulfovibrionales","bt_1015"
"Unclass_f__AB1","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__AB1","Unclass_f__AB1",NA,NA,"Unclass_f__AB1","bt_1016"
"Unclass_f__Amoebophilaceae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Amoebophilaceae","Unclass_f__Amoebophilaceae",NA,NA,"Unclass_f__Amoebophilaceae","bt_1017"
"Unclass_f__Latescibacteraceae","k__Bacteria","p__Latescibacterota","c__Latescibacteria","o__Latescibacterales","f__Latescibacteraceae","Unclass_f__Latescibacteraceae",NA,NA,"Unclass_f__Latescibacteraceae","bt_1018"
"g__Planctopirus","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Planctomycetales","f__Schlesneriaceae","g__Planctopirus",NA,NA,"g__Planctopirus","bt_1019"
"g__Anabaena PCC-7122","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Nostocaceae","g__Anabaena PCC-7122",NA,NA,"g__Anabaena PCC-7122","bt_1020"
"g__Azospirillum","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Azospirillales","f__Azospirillaceae","g__Azospirillum",NA,NA,"g__Azospirillum","bt_1021"
"g__Aureispira","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Saprospiraceae","g__Aureispira",NA,NA,"g__Aureispira","bt_1022"
"Unclass_f__UBA12411","k__Bacteria","p__Dependentiae","c__Babeliae","o__Babeliales","f__UBA12411","Unclass_f__UBA12411",NA,NA,"Unclass_f__UBA12411","bt_1023"
"Unclass_f__Blattabacteriaceae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Blattabacteriaceae","Unclass_f__Blattabacteriaceae",NA,NA,"Unclass_f__Blattabacteriaceae","bt_1024"
"g__Wilmottia Ant-Ph58","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Coleofasciculaceae","g__Wilmottia Ant-Ph58",NA,NA,"g__Wilmottia Ant-Ph58","bt_1025"
"g__Leptolyngbya EcFYyyy-00","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__","f__","g__Leptolyngbya EcFYyyy-00",NA,NA,"g__Leptolyngbya EcFYyyy-00","bt_1026"
"Unclass_f__Clostridiaceae","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","Unclass_f__Clostridiaceae",NA,NA,"Unclass_f__Clostridiaceae","bt_1027"
"g__Parasediminibacterium","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Parasediminibacterium",NA,NA,"g__Parasediminibacterium","bt_1028"
"Unclass_o__eub62A3","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__eub62A3","f__","Unclass_o__eub62A3",NA,NA,"Unclass_o__eub62A3","bt_1029"
"Unclass_f__Candidatus Jidaibacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Candidatus Jidaibacter","Unclass_f__Candidatus Jidaibacter",NA,NA,"Unclass_f__Candidatus Jidaibacter","bt_1030"
"g__Tolypothrix","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Nostocaceae","g__Tolypothrix",NA,NA,"g__Tolypothrix","bt_1031"
"g__Methylopila","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Methylopilaceae","g__Methylopila",NA,NA,"g__Methylopila","bt_1032"
"Unclass_f__Leptospiraceae","k__Bacteria","p__Spirochaetota","c__Leptospirae","o__Leptospirales","f__Leptospiraceae","Unclass_f__Leptospiraceae",NA,NA,"Unclass_f__Leptospiraceae","bt_1033"
"Unclass_f__Immundisolibacteraceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Immundisolibacterales","f__Immundisolibacteraceae","Unclass_f__Immundisolibacteraceae",NA,NA,"Unclass_f__Immundisolibacteraceae","bt_1034"
"Unclass_o__Candidatus Brennerbacteria","k__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus Brennerbacteria","f__","Unclass_o__Candidatus Brennerbacteria",NA,NA,"Unclass_o__Candidatus Brennerbacteria","bt_1035"
"Unclass_o__Pla1 lineage","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__Pla1 lineage","f__","Unclass_o__Pla1 lineage",NA,NA,"Unclass_o__Pla1 lineage","bt_1036"
"g__Sinomonas","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Sinomonas",NA,NA,"g__Sinomonas","bt_1037"
"Unclass_o__Candidatus Lloydbacteria","k__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus Lloydbacteria","f__","Unclass_o__Candidatus Lloydbacteria",NA,NA,"Unclass_o__Candidatus Lloydbacteria","bt_1038"
"Unclass_f__Legionellaceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","Unclass_f__Legionellaceae",NA,NA,"Unclass_f__Legionellaceae","bt_1039"
"g__Chelatococcus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Chelatococcus",NA,NA,"g__Chelatococcus","bt_1040"
"Unclass_o__AT-s3-44","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__AT-s3-44","f__","Unclass_o__AT-s3-44",NA,NA,"Unclass_o__AT-s3-44","bt_1041"
"g__Agaricicola","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Stappiaceae","g__Agaricicola",NA,NA,"g__Agaricicola","bt_1042"
"Unclass_c__Holophagae","k__Bacteria","p__Acidobacteriota","c__Holophagae","o__","f__","Unclass_c__Holophagae",NA,NA,"Unclass_c__Holophagae","bt_1043"
"g__Thioclava","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Thioclava",NA,NA,"g__Thioclava","bt_1044"
"Unclass_f__Fodinicurvataceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Kiloniellales","f__Fodinicurvataceae","Unclass_f__Fodinicurvataceae",NA,NA,"Unclass_f__Fodinicurvataceae","bt_1045"
"g__Geothrix","k__Bacteria","p__Acidobacteriota","c__Holophagae","o__Holophagales","f__Holophagaceae","g__Geothrix",NA,NA,"g__Geothrix","bt_1046"
"g__Alkanindiges","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Alkanindiges",NA,NA,"g__Alkanindiges","bt_1047"
"g__Candidatus Cardinium","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Amoebophilaceae","g__Candidatus Cardinium",NA,NA,"g__Candidatus Cardinium","bt_1048"
"Unclass_p__TX1A-33","k__Bacteria","p__TX1A-33","c__","o__","f__","Unclass_p__TX1A-33",NA,NA,"Unclass_p__TX1A-33","bt_1049"
"Unclass_o__Verrucomicrobiales","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__","Unclass_o__Verrucomicrobiales",NA,NA,"Unclass_o__Verrucomicrobiales","bt_1050"
"Unclass_f__Bacteriovoracaceae","k__Bacteria","p__Bdellovibrionota","c__Bdellovibrionia","o__Bacteriovoracales","f__Bacteriovoracaceae","Unclass_f__Bacteriovoracaceae",NA,NA,"Unclass_f__Bacteriovoracaceae","bt_1051"
"g__Pygmaiobacter","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Pygmaiobacter",NA,NA,"g__Pygmaiobacter","bt_1052"
"g__Paludibacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Paludibacteraceae","g__Paludibacter",NA,NA,"g__Paludibacter","bt_1053"
"g__Roseburia","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia",NA,NA,"g__Roseburia","bt_1054"
"g__Desulfosporosinus","k__Bacteria","p__Firmicutes","c__Desulfitobacteriia","o__Desulfitobacteriales","f__Desulfitobacteriaceae","g__Desulfosporosinus",NA,NA,"g__Desulfosporosinus","bt_1055"
"g__Bounagaea","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Bounagaea",NA,NA,"g__Bounagaea","bt_1056"
"g__Clavibacter","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Clavibacter",NA,NA,"g__Clavibacter","bt_1057"
"g__Thermasporomyces","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Thermasporomyces",NA,NA,"g__Thermasporomyces","bt_1058"
"g__Dyella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Rhodanobacteraceae","g__Dyella",NA,NA,"g__Dyella","bt_1059"
"Unclass_o__Caenarcaniphilales","k__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Caenarcaniphilales","f__","Unclass_o__Caenarcaniphilales",NA,NA,"Unclass_o__Caenarcaniphilales","bt_1060"
"g__Desertibacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Azospirillales","f__Azospirillaceae","g__Desertibacter",NA,NA,"g__Desertibacter","bt_1061"
"g__Belliella","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Cyclobacteriaceae","g__Belliella",NA,NA,"g__Belliella","bt_1062"
"g__Phormidesmis ANT.L52.6","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Leptolyngbyales","f__Leptolyngbyaceae","g__Phormidesmis ANT.L52.6",NA,NA,"g__Phormidesmis ANT.L52.6","bt_1063"
"Unclass_f__Deinococcaceae","k__Bacteria","p__Deinococcota","c__Deinococci","o__Deinococcales","f__Deinococcaceae","Unclass_f__Deinococcaceae",NA,NA,"Unclass_f__Deinococcaceae","bt_1064"
"Unclass_o__OPB41","k__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__OPB41","f__","Unclass_o__OPB41",NA,NA,"Unclass_o__OPB41","bt_1065"
"g__Prevotella","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella",NA,NA,"g__Prevotella","bt_1066"
"g__Helicobacter","k__Bacteria","p__Campylobacterota","c__Campylobacteria","o__Campylobacterales","f__Helicobacteraceae","g__Helicobacter",NA,NA,"g__Helicobacter","bt_1067"
"g__Myroides","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__Myroides",NA,NA,"g__Myroides","bt_1068"
"g__Urania-1B-19 marine sediment group","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__Phycisphaerales","f__Phycisphaeraceae","g__Urania-1B-19 marine sediment group",NA,NA,"g__Urania-1B-19 marine sediment group","bt_1069"
"Unclass_f__Erysipelotrichaceae","k__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","Unclass_f__Erysipelotrichaceae",NA,NA,"Unclass_f__Erysipelotrichaceae","bt_1070"
"g__Lachnospiraceae AC2044 group","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae AC2044 group",NA,NA,"g__Lachnospiraceae AC2044 group","bt_1071"
"g__Mycoplasma","k__Bacteria","p__Firmicutes","c__Bacilli","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma",NA,NA,"g__Mycoplasma","bt_1072"
"g__Parachlamydia","k__Bacteria","p__Verrucomicrobiota","c__Chlamydiae","o__Chlamydiales","f__Parachlamydiaceae","g__Parachlamydia",NA,NA,"g__Parachlamydia","bt_1073"
"g__Moheibacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Weeksellaceae","g__Moheibacter",NA,NA,"g__Moheibacter","bt_1074"
"Unclass_o__Candidatus Daviesbacteria","k__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Candidatus Daviesbacteria","f__","Unclass_o__Candidatus Daviesbacteria",NA,NA,"Unclass_o__Candidatus Daviesbacteria","bt_1075"
"g__Marinoscillum","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Cyclobacteriaceae","g__Marinoscillum",NA,NA,"g__Marinoscillum","bt_1076"
"Unclass_o__Clostridia vadinBB60 group","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia vadinBB60 group","f__","Unclass_o__Clostridia vadinBB60 group",NA,NA,"Unclass_o__Clostridia vadinBB60 group","bt_1077"
"g__Desulfobulbus","k__Bacteria","p__Desulfobacterota","c__Desulfobulbia","o__Desulfobulbales","f__Desulfobulbaceae","g__Desulfobulbus",NA,NA,"g__Desulfobulbus","bt_1078"
"g__[Agitococcus] lubricus group","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__[Agitococcus] lubricus group",NA,NA,"g__[Agitococcus] lubricus group","bt_1079"
"g__Ferribacterium","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Rhodocyclaceae","g__Ferribacterium",NA,NA,"g__Ferribacterium","bt_1080"
"g__Cavicella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Cavicella",NA,NA,"g__Cavicella","bt_1081"
"Unclass_o__Candidatus Collierbacteria","k__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Candidatus Collierbacteria","f__","Unclass_o__Candidatus Collierbacteria",NA,NA,"Unclass_o__Candidatus Collierbacteria","bt_1082"
"Unclass_f__Fokiniaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Fokiniaceae","Unclass_f__Fokiniaceae",NA,NA,"Unclass_f__Fokiniaceae","bt_1083"
"g__Desulfovibrio","k__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio",NA,NA,"g__Desulfovibrio","bt_1084"
"g__Oscillibacter","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Oscillibacter",NA,NA,"g__Oscillibacter","bt_1085"
"g__Cellulosilyticum","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Cellulosilyticum",NA,NA,"g__Cellulosilyticum","bt_1086"
"Unclass_f__Kiloniellaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Kiloniellales","f__Kiloniellaceae","Unclass_f__Kiloniellaceae",NA,NA,"Unclass_f__Kiloniellaceae","bt_1087"
"Unclass_f__CWT CU03-E12","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__CWT CU03-E12","Unclass_f__CWT CU03-E12",NA,NA,"Unclass_f__CWT CU03-E12","bt_1088"
"Unclass_o__WCHB1-41","k__Bacteria","p__Verrucomicrobiota","c__Kiritimatiellae","o__WCHB1-41","f__","Unclass_o__WCHB1-41",NA,NA,"Unclass_o__WCHB1-41","bt_1089"
"g__Rhodoligotrophos","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Parvibaculales","f__Parvibaculaceae","g__Rhodoligotrophos",NA,NA,"g__Rhodoligotrophos","bt_1090"
"g__Rickettsiella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Diplorickettsiales","f__Diplorickettsiaceae","g__Rickettsiella",NA,NA,"g__Rickettsiella","bt_1091"
"g__Micavibrio","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Micavibrionales","f__Micavibrionaceae","g__Micavibrio",NA,NA,"g__Micavibrio","bt_1092"
"Unclass_k__Archaea","k__Archaea","p__","c__","o__","f__","Unclass_k__Archaea",NA,NA,"Unclass_k__Archaea","bt_1093"
"g__Ottowia","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Ottowia",NA,NA,"g__Ottowia","bt_1094"
"g__Pelosinus","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Sporomusaceae","g__Pelosinus",NA,NA,"g__Pelosinus","bt_1095"
"Unclass_f__Candidatus Spiroplasma","k__Bacteria","p__Firmicutes","c__Bacilli","o__Entomoplasmatales","f__Candidatus Spiroplasma","Unclass_f__Candidatus Spiroplasma",NA,NA,"Unclass_f__Candidatus Spiroplasma","bt_1096"
"Unclass_f__UCG-010","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","Unclass_f__UCG-010",NA,NA,"Unclass_f__UCG-010","bt_1097"
"g__Alistipes","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes",NA,NA,"g__Alistipes","bt_1098"
"Unclass_c__028H05-P-BN-P5","k__Bacteria","p__Planctomycetota","c__028H05-P-BN-P5","o__","f__","Unclass_c__028H05-P-BN-P5",NA,NA,"Unclass_c__028H05-P-BN-P5","bt_1099"
"g__Thermoactinomyces","k__Bacteria","p__Firmicutes","c__Bacilli","o__Thermoactinomycetales","f__Thermoactinomycetaceae","g__Thermoactinomyces",NA,NA,"g__Thermoactinomyces","bt_1100"
"g__Candidatus Paenicardinium","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Amoebophilaceae","g__Candidatus Paenicardinium",NA,NA,"g__Candidatus Paenicardinium","bt_1101"
"g__Saccharospirillum","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Saccharospirillaceae","g__Saccharospirillum",NA,NA,"g__Saccharospirillum","bt_1102"
"g__Procabacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Procabacteriaceae","g__Procabacter",NA,NA,"g__Procabacter","bt_1103"
"g__Candidatus Bealeia","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Holosporales","f__Holosporaceae","g__Candidatus Bealeia",NA,NA,"g__Candidatus Bealeia","bt_1104"
